Id,Designator,Package,Quantity,Digikey PN,Designation
2,"C4,C6,C202,C12",C_0603_HandSoldering,4,311-1088-1-ND,0.1uF
3,"C7,C8,C9",C_0603_HandSoldering,3,490-3184-1-ND,1nF
4,"C11,C301,C302,C81,C87,C94",C_0603_HandSoldering,6,490-1536-1-ND,1uF
5,"D4,D201",DIODE_SMA,2,SS14CT-ND,SS14
6,F1,1210,1,507-1786-1-ND,1A PTC
7,"Q202,Q203,Q4,Q3",SOT23_FET,4,FDN340PCT-ND,FDN340P
8,"R1,R2",R_0603_HandSoldering,2,311-12.0KHRCT-ND,12K(1%)
9,R3,R_0603_HandSoldering,1,311-1.00MHRCT-ND,1M
10,"R4,R18,R19",R_0603_HandSoldering,3,311-100KGRCT-ND,100K
11,"R5,R7,R12,R13,R14,R17,R209",R_0603_HandSoldering,7,311-470HRCT-ND,470R(1%)
12,"R6,R8,R10,R11,R9,R20,R21,R15,R22",R_0603_HandSoldering,9,311-10KGRCT-ND,10K
13,R204,R_0603_HandSoldering,1,311-3.60KHRCT-ND,3.6K 1%
14,R205,R_0603_HandSoldering,1,311-7.15KHRCT-ND,7.15K 1%
16,U1,QFN-28-1EP_5x5mm_Pitch0.5mm,1,336-1160-1-ND,CP2102
19,U202,SO08_4mm,1,MCP6002T-I/SNCT-ND,MCP6002
23,LED201,LED_0805,1,160-1413-1-ND,LED_ORANGE
24,"Q1,Q2",SOT-23_Handsoldering,2,MMSS8050-H-TPMSCT-ND,S8050
26,"R301,R302",R_0603_HandSoldering,2,311-4.7KGRCT-ND,4.7K
29,U301,BME280,1,828-1063-1-ND,BME280
30,U302,ADXL345,1,ADXL345BCCZ-RLCT-ND,ADXL345
32,TH201,R_0603_HandSoldering,1,490-4800-1-ND,10K NTC
35,D3,LED-5MM,1,751-1204-ND,IRLED
36,R16,R_0603_HandSoldering,1,311-22GRCT-ND,22R
37,SP1,CVS-1508.Speaker.PCPins,1,102-2498-ND,SPEAKER
38,LED1,LED_0805,1,732-4984-1-ND,LED_RED
39,C10,C_1210_HandSoldering,1,490-7217-1-ND,100uF 6.3V X5R
40,P3,USB-MICRO-5pin_PTHMOUNT-Amphenol.10118194-0001LF,1,609-4618-1-ND,USB_5PIN_SHELL
42,U3,DPAK3.NCP5501,1,NCP5501DT33RKGOSCT-ND,NCP5501
43,U7,PCF8574.SOIC-16W_Pitch1.27mm,1,568-1077-1-ND,PCF8574
44,"C82,C83,C84,C88,C91",C_0603_HandSoldering,5,1276-2087-1-ND,4.7uF
45,"C85,C86,C92,C93",C_0603_HandSoldering,4,1276-2262-1-ND,33pF 1%
46,MK91,MEMSMicrophone-SMT-SPU0410HR5H‐PB,1,423-1138-1-ND,SPU0410HR5H
47,R91,R_0603_HandSoldering,1,311-1.0KGRCT-ND,1K
48,"C3,C5,C201,C203,C204",C_0805_HandSoldering,5,1276-2399-1-ND,10uF 16V
49,U81,NAU8814_QFN-24_4x4mm_Pitch0.5mm_EPAD,1,NAU8814YG-ND,NAU8814
52,P8,TSOP38238.IRReceiver,1,751-1227-ND,IRReceiver
